,GOOG,GOOG,GOOG,GOOG,GOOG
,open,high,low,close,volume
time,,,,,
2020-09-02 10:21:00-04:00,1679.605,1679.605,1679.605,1679.605,265
2020-09-02 10:22:00-04:00,1678.83,1678.83,1678.83,1678.83,102
2020-09-02 10:23:00-04:00,1679.165,1679.95,1679.165,1679.95,886
2020-09-02 10:24:00-04:00,1680.435,1680.99,1680.24,1680.99,669
2020-09-02 10:25:00-04:00,1682.52,1682.52,1680.87,1681.14,1393
2020-09-02 10:26:00-04:00,1679.275,1679.275,1677.66,1677.66,311
2020-09-02 10:27:00-04:00,1678.655,1680.805,1678.655,1680.43,706
2020-09-02 10:28:00-04:00,1678.48,1678.48,1678.48,1678.48,150
2020-09-02 10:29:00-04:00,1678.3,1678.63,1678.04,1678.63,535
2020-09-02 10:30:00-04:00,1676.0,1676.0,1676.0,1676.0,113
2020-09-02 10:31:00-04:00,1676.43,1676.43,1675.89,1675.89,506
2020-09-02 10:32:00-04:00,1677.87,1678.63,1677.87,1678.63,612
2020-09-02 10:33:00-04:00,1678.02,1678.02,1678.02,1678.02,119
2020-09-02 10:34:00-04:00,1678.07,1678.07,1678.07,1678.07,200
2020-09-02 10:36:00-04:00,1677.23,1677.23,1677.07,1677.07,341
2020-09-02 10:37:00-04:00,1677.35,1678.07,1676.69,1677.09,629
2020-09-02 10:38:00-04:00,1673.88,1673.88,1672.79,1672.79,722
2020-09-02 10:39:00-04:00,1672.61,1672.61,1671.695,1671.695,414
2020-09-02 10:41:00-04:00,1671.945,1671.945,1671.945,1671.945,232
2020-09-02 10:42:00-04:00,1675.0,1675.0,1675.0,1675.0,230
2020-09-02 10:44:00-04:00,1673.88,1673.88,1673.88,1673.88,200
2020-09-02 10:46:00-04:00,1672.92,1674.2,1672.92,1674.2,867
2020-09-02 10:48:00-04:00,1674.86,1674.86,1674.45,1674.45,311
2020-09-02 10:49:00-04:00,1674.13,1674.435,1674.13,1674.435,561
2020-09-02 10:52:00-04:00,1676.19,1676.19,1676.19,1676.19,105
2020-09-02 10:54:00-04:00,1676.705,1677.07,1676.23,1677.07,897
2020-09-02 10:55:00-04:00,1677.405,1677.405,1677.405,1677.405,269
2020-09-02 10:56:00-04:00,1677.16,1677.16,1677.16,1677.16,110
2020-09-02 10:57:00-04:00,1677.295,1677.295,1677.295,1677.295,1152
2020-09-02 10:58:00-04:00,1674.75,1674.75,1674.75,1674.75,581
2020-09-02 10:59:00-04:00,1675.13,1675.445,1674.9,1675.445,777
2020-09-02 11:00:00-04:00,1674.52,1674.915,1674.52,1674.915,804
2020-09-02 11:01:00-04:00,1673.715,1673.715,1673.715,1673.715,218
2020-09-02 11:03:00-04:00,1673.39,1673.56,1672.855,1672.855,402
2020-09-02 11:04:00-04:00,1673.85,1673.85,1673.57,1673.585,501
2020-09-02 11:05:00-04:00,1672.525,1672.525,1672.525,1672.525,273
2020-09-02 11:07:00-04:00,1672.805,1673.0,1672.4,1672.4,443
2020-09-02 11:09:00-04:00,1668.85,1670.185,1668.35,1670.185,720
2020-09-02 11:10:00-04:00,1671.01,1671.01,1671.01,1671.01,212
2020-09-02 11:11:00-04:00,1672.38,1674.335,1672.33,1674.335,1131
2020-09-02 11:12:00-04:00,1674.22,1674.22,1674.22,1674.22,202
2020-09-02 11:13:00-04:00,1673.08,1673.08,1673.08,1673.08,154
2020-09-02 11:14:00-04:00,1673.38,1673.38,1672.725,1672.725,557
2020-09-02 11:16:00-04:00,1671.485,1671.485,1670.99,1670.99,418
2020-09-02 11:18:00-04:00,1672.895,1672.895,1672.895,1672.895,243
2020-09-02 11:23:00-04:00,1674.73,1674.73,1673.73,1673.73,305
2020-09-02 11:25:00-04:00,1673.42,1673.42,1673.42,1673.42,168
2020-09-02 11:26:00-04:00,1673.895,1673.895,1673.895,1673.895,299
2020-09-02 11:28:00-04:00,1676.825,1676.825,1676.825,1676.825,233
2020-09-02 11:29:00-04:00,1676.96,1676.96,1675.84,1675.84,656
2020-09-02 11:30:00-04:00,1676.49,1677.23,1676.49,1677.23,304
2020-09-02 11:31:00-04:00,1676.13,1678.39,1676.13,1678.39,738
2020-09-02 11:32:00-04:00,1677.16,1677.16,1677.16,1677.16,200
2020-09-02 11:34:00-04:00,1678.69,1678.69,1675.93,1675.93,840
2020-09-02 11:35:00-04:00,1675.67,1675.67,1674.63,1674.63,507
2020-09-02 11:36:00-04:00,1673.28,1673.28,1673.28,1673.28,265
2020-09-02 11:37:00-04:00,1672.8,1672.94,1672.8,1672.94,200
2020-09-02 11:38:00-04:00,1673.2,1673.695,1670.435,1670.435,843
2020-09-02 11:41:00-04:00,1671.61,1671.61,1671.61,1671.61,465
2020-09-02 11:42:00-04:00,1668.57,1668.57,1667.32,1667.5,503
2020-09-02 11:43:00-04:00,1668.82,1668.82,1668.82,1668.82,346
2020-09-02 11:44:00-04:00,1669.4,1669.595,1669.265,1669.265,432
2020-09-02 11:45:00-04:00,1668.76,1668.76,1668.76,1668.76,216
2020-09-02 11:47:00-04:00,1668.2,1669.51,1668.2,1669.12,1147
2020-09-02 11:51:00-04:00,1672.995,1672.995,1672.995,1672.995,3003
2020-09-02 11:52:00-04:00,1673.72,1673.72,1673.13,1673.13,548
2020-09-02 11:53:00-04:00,1674.35,1674.35,1674.35,1674.35,147
2020-09-02 11:57:00-04:00,1678.83,1678.83,1678.83,1678.83,286
2020-09-02 11:58:00-04:00,1678.93,1678.93,1678.93,1678.93,115
2020-09-02 11:59:00-04:00,1678.555,1678.555,1677.685,1677.835,982
2020-09-02 12:05:00-04:00,1681.27,1681.8,1681.27,1681.8,200
2020-09-02 12:06:00-04:00,1680.78,1680.78,1680.78,1680.78,229
2020-09-02 12:07:00-04:00,1679.97,1679.97,1678.72,1678.72,433
2020-09-02 12:12:00-04:00,1679.05,1680.0,1679.05,1679.92,380
2020-09-02 12:14:00-04:00,1680.77,1680.77,1680.77,1680.77,277
2020-09-02 12:15:00-04:00,1681.85,1684.03,1681.85,1684.03,450
2020-09-02 12:16:00-04:00,1682.41,1682.41,1682.41,1682.41,281
2020-09-02 12:17:00-04:00,1681.29,1681.76,1681.29,1681.76,214
2020-09-02 12:18:00-04:00,1681.76,1681.76,1681.76,1681.76,239
2020-09-02 12:23:00-04:00,1680.44,1680.44,1680.05,1680.05,206
2020-09-02 12:24:00-04:00,1680.815,1680.815,1680.8,1680.8,204
2020-09-02 12:27:00-04:00,1680.7,1681.27,1680.7,1681.27,363
2020-09-02 12:29:00-04:00,1682.25,1682.25,1682.25,1682.25,105
2020-09-02 12:30:00-04:00,1681.78,1681.78,1681.78,1681.78,520
2020-09-02 12:33:00-04:00,1682.55,1682.55,1682.55,1682.55,197
2020-09-02 12:34:00-04:00,1684.99,1684.99,1684.99,1684.99,300
2020-09-02 12:36:00-04:00,1686.0,1686.0,1685.96,1685.96,425
2020-09-02 12:37:00-04:00,1687.94,1687.94,1687.94,1687.94,106
2020-09-02 12:41:00-04:00,1685.2,1685.2,1685.2,1685.2,100
2020-09-02 12:44:00-04:00,1686.2,1686.2,1686.2,1686.2,147
2020-09-02 12:45:00-04:00,1686.0,1686.0,1686.0,1686.0,206
2020-09-02 12:46:00-04:00,1688.26,1688.26,1688.26,1688.26,100
2020-09-02 12:47:00-04:00,1688.905,1690.38,1688.905,1690.38,202
2020-09-02 12:48:00-04:00,1689.87,1689.945,1689.87,1689.945,394
2020-09-02 12:49:00-04:00,1688.285,1688.54,1687.63,1688.54,862
2020-09-02 12:56:00-04:00,1688.29,1688.29,1688.29,1688.29,131
2020-09-02 12:57:00-04:00,1687.97,1688.45,1687.95,1688.125,926
2020-09-02 12:58:00-04:00,1688.04,1688.19,1688.03,1688.05,502
2020-09-02 13:00:00-04:00,1688.6,1688.6,1688.6,1688.6,153
2020-09-02 13:01:00-04:00,1688.79,1688.79,1688.78,1688.78,549
2020-09-02 13:02:00-04:00,1689.29,1689.57,1689.29,1689.57,621
2020-09-02 13:04:00-04:00,1691.07,1691.07,1691.07,1691.07,318
2020-09-02 13:05:00-04:00,1692.52,1692.52,1692.52,1692.52,191
2020-09-02 13:06:00-04:00,1693.16,1693.16,1692.81,1692.81,201
2020-09-02 13:07:00-04:00,1694.2,1694.2,1694.2,1694.2,101
2020-09-02 13:08:00-04:00,1694.295,1694.295,1694.295,1694.295,409
2020-09-02 13:13:00-04:00,1698.34,1700.29,1698.34,1700.29,258
2020-09-02 13:14:00-04:00,1699.88,1700.37,1699.07,1699.07,369
2020-09-02 13:15:00-04:00,1699.63,1699.63,1699.63,1699.63,100
2020-09-02 13:16:00-04:00,1700.74,1700.825,1700.3,1700.3,647
2020-09-02 13:24:00-04:00,1702.43,1702.43,1702.43,1702.43,207
2020-09-02 13:25:00-04:00,1701.825,1701.825,1701.825,1701.825,101
2020-09-02 13:26:00-04:00,1703.16,1703.16,1703.16,1703.16,220
2020-09-02 13:28:00-04:00,1703.85,1703.85,1703.85,1703.85,100
2020-09-02 13:30:00-04:00,1703.69,1703.81,1702.6,1702.6,424
2020-09-02 13:35:00-04:00,1703.41,1703.41,1703.41,1703.41,231
2020-09-02 13:36:00-04:00,1702.25,1702.25,1702.25,1702.25,607
2020-09-02 13:37:00-04:00,1701.35,1701.35,1700.55,1700.55,330
2020-09-02 13:38:00-04:00,1701.04,1701.04,1701.04,1701.04,184
2020-09-02 13:46:00-04:00,1702.4,1702.4,1702.4,1702.4,195
2020-09-02 13:49:00-04:00,1699.94,1699.94,1699.855,1699.855,217
2020-09-02 13:50:00-04:00,1700.81,1701.44,1700.81,1701.44,225
2020-09-02 13:53:00-04:00,1702.0,1702.0,1702.0,1702.0,949
2020-09-02 13:56:00-04:00,1701.4,1703.13,1701.4,1703.13,338
2020-09-02 14:01:00-04:00,1699.115,1699.75,1699.115,1699.7,450
2020-09-02 14:02:00-04:00,1698.39,1698.54,1698.21,1698.21,863
2020-09-02 14:03:00-04:00,1696.96,1700.0,1696.96,1700.0,774
2020-09-02 14:04:00-04:00,1699.62,1699.62,1699.62,1699.62,191
2020-09-02 14:05:00-04:00,1700.735,1700.735,1700.735,1700.735,110
2020-09-02 14:07:00-04:00,1702.18,1702.18,1702.18,1702.18,132
2020-09-02 14:09:00-04:00,1700.46,1700.46,1699.26,1699.26,868
2020-09-02 14:11:00-04:00,1700.285,1700.285,1700.285,1700.285,1669
2020-09-02 14:15:00-04:00,1702.24,1702.5,1701.445,1701.445,579
2020-09-02 14:16:00-04:00,1702.005,1702.005,1700.95,1701.05,505
2020-09-02 14:17:00-04:00,1701.95,1701.95,1701.95,1701.95,101
2020-09-02 14:18:00-04:00,1701.08,1702.26,1701.08,1702.26,1082
2020-09-02 14:19:00-04:00,1701.26,1701.33,1700.515,1700.515,603
2020-09-02 14:25:00-04:00,1704.0,1704.0,1704.0,1704.0,247
2020-09-02 14:28:00-04:00,1702.715,1702.715,1702.435,1702.435,592
2020-09-02 14:29:00-04:00,1702.385,1702.71,1702.16,1702.71,694
2020-09-02 14:30:00-04:00,1702.68,1702.68,1702.68,1702.68,470
2020-09-02 14:32:00-04:00,1703.26,1705.0,1703.26,1703.81,935
2020-09-02 14:33:00-04:00,1703.41,1703.41,1703.11,1703.36,898
2020-09-02 14:34:00-04:00,1703.88,1704.14,1703.88,1703.94,1016
2020-09-02 14:35:00-04:00,1704.58,1704.58,1704.58,1704.58,143
2020-09-02 14:36:00-04:00,1704.765,1704.765,1704.765,1704.765,395
2020-09-02 14:37:00-04:00,1703.92,1703.92,1703.86,1703.86,395
2020-09-02 14:38:00-04:00,1703.395,1703.395,1703.34,1703.34,445
2020-09-02 14:39:00-04:00,1705.6,1705.6,1705.415,1705.415,241
2020-09-02 14:40:00-04:00,1705.49,1705.49,1705.49,1705.49,214
2020-09-02 14:41:00-04:00,1705.915,1706.02,1705.91,1705.91,679
2020-09-02 14:43:00-04:00,1707.105,1707.105,1707.105,1707.105,214
2020-09-02 14:44:00-04:00,1706.74,1706.74,1706.74,1706.74,101
2020-09-02 14:45:00-04:00,1707.15,1707.235,1707.12,1707.235,1131
