,GOOG,GOOG,GOOG,GOOG,GOOG
,open,high,low,close,volume
time,,,,,
2019-10-09 00:00:00-04:00,1200.78,1208.24,1197.63,1201.93,1507902
2019-10-10 00:00:00-04:00,1200.26,1215.0,1197.34,1208.75,1417812
2019-10-11 00:00:00-04:00,1222.21,1228.39,1213.74,1214.89,2211022
2019-10-14 00:00:00-04:00,1212.34,1226.33,1211.76,1217.13,1547830
2019-10-15 00:00:00-04:00,1220.4,1247.33,1220.4,1242.51,2479562
2019-10-16 00:00:00-04:00,1241.17,1254.74,1238.45,1243.65,1907856
2019-10-17 00:00:00-04:00,1250.93,1263.325,1249.94,1253.06,1678060
2019-10-18 00:00:00-04:00,1254.22,1258.89,1241.08,1245.49,2592161
2019-10-21 00:00:00-04:00,1251.7139,1252.48,1240.6,1246.48,816896
2019-10-22 00:00:00-04:00,1247.85,1250.6,1241.38,1242.93,941867
2019-10-23 00:00:00-04:00,1242.36,1259.89,1242.36,1259.28,814768
2019-10-24 00:00:00-04:00,1260.9,1264.0,1253.715,1260.46,897017
2019-10-25 00:00:00-04:00,1251.03,1269.6,1250.01,1265.07,1068308
2019-10-28 00:00:00-04:00,1275.45,1299.31,1272.54,1290.09,2055234
2019-10-29 00:00:00-04:00,1276.59,1281.59,1257.2119,1262.82,1720668
2019-10-30 00:00:00-04:00,1252.97,1269.36,1252.0,1261.2,1289602
2019-10-31 00:00:00-04:00,1261.28,1267.67,1250.8428,1260.31,1125590
2019-11-01 00:00:00-04:00,1265.99,1274.62,1260.5,1274.5,1454575
2019-11-04 00:00:00-05:00,1276.45,1294.13,1276.355,1290.97,1370525
2019-11-05 00:00:00-05:00,1292.89,1298.93,1291.2289,1291.82,1117758
2019-11-06 00:00:00-05:00,1289.46,1293.73,1282.5,1291.8,938266
2019-11-07 00:00:00-05:00,1294.28,1323.74,1294.245,1308.86,1908838
2019-11-08 00:00:00-05:00,1305.28,1318.0,1304.365,1311.31,1171284
2019-11-11 00:00:00-05:00,1303.5,1306.425,1297.41,1299.0,913094
2019-11-12 00:00:00-05:00,1301.0,1310.0,1295.77,1298.79,853581
2019-11-13 00:00:00-05:00,1294.07,1304.3,1293.51,1297.65,742481
2019-11-14 00:00:00-05:00,1297.5,1317.0,1295.65,1311.58,1055425
2019-11-15 00:00:00-05:00,1318.94,1334.88,1314.2795,1334.86,1456906
2019-11-18 00:00:00-05:00,1332.22,1335.5288,1317.5,1320.71,1223718
2019-11-19 00:00:00-05:00,1327.7,1327.7,1312.8,1315.13,994560
2019-11-20 00:00:00-05:00,1311.74,1315.0,1291.15,1302.98,1060138
2019-11-21 00:00:00-05:00,1301.48,1312.59,1293.0,1301.12,827387
2019-11-22 00:00:00-05:00,1305.62,1308.73,1291.41,1295.35,1121655
2019-11-25 00:00:00-05:00,1299.18,1311.31,1298.13,1306.95,820545
2019-11-26 00:00:00-05:00,1309.86,1314.8,1305.09,1313.54,808089
2019-11-27 00:00:00-05:00,1315.16,1318.36,1309.63,1313.5,845479
2019-11-29 00:00:00-05:00,1307.12,1310.205,1303.97,1303.97,457832
